"Feature","Coefficient","Phase"
"SLQ050_2",0.00605186114278284,"pre"
"(Intercept)",-19.4098234554809,"post"
"bp_sys_mean",-2.11941048231822,"post"
"bp_dia_mean",0.323807457700517,"post"
"DSDCOUNT_x",0.289257998009685,"post"
"DR1DAY",-0.0991852187200942,"post"
"BMXARML",-0.0706889769978944,"post"
"BMXARMC",-0.00709260051889816,"post"
"BPXSY1",-0.0110502628147903,"post"
"BPXDI2",0.185650466419682,"post"
"BPXSY3",-2.44899331819213,"post"
"LBXLYPCT",0.059719958170579,"post"
"LBXEOPCT",-0.0265194266968889,"post"
"LBDBANO",-0.109321989753501,"post"
"LBDHDD",-0.160786984856429,"post"
"WHD120",0.275828082181961,"post"
"demo_age_cat_18to44",-0.423936175913781,"post"
"demo_age_cat_65to74",9.00965382708794,"post"
"demo_race_NonplusHispanicWhite",-0.111740592785026,"post"
"demo_race_Other",1.90290829962359,"post"
"demo_gender_Men",-0.690061860554509,"post"
"demo_gender_Women",0.0265474266709345,"post"
"bp_cat_meds_excluded_SBP120andDBP80mmHg",21.1184725279636,"post"
"bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",23.6059630306021,"post"
"bp_cat_meds_included_takingantihypertensivemedications",0.620906848389346,"post"
"bp_med_use_No",-9.3280773741291e-17,"post"
"bp_med_use_Yes",3.1093591247097e-17,"post"
"bp_med_recommended_accaha_No",5.15331323847087,"post"
"bp_med_n_pills_One",1.01841617036552,"post"
"bp_med_ace_No",0.0337945178216519,"post"
"bp_med_ace_Yes",-2.37450122766089e-15,"post"
"bp_med_angioten_No",-0.479720171731625,"post"
"bp_med_angioten_Yes",0.000527279903768041,"post"
"bp_med_ccb_ndh_No",0.723766788881116,"post"
"bp_med_ccb_ndh_Yes",-7.25945412404719e-14,"post"
"bp_med_diur_loop_No",-1.76693746932151,"post"
"bp_med_diur_loop_Yes",3.64441414495822e-15,"post"
"cc_ckd_No",0.488927239321705,"post"
"cc_ckd_Yes",-0.0234990837329445,"post"
"cc_cvd_any_No",0.196376247908548,"post"
"cc_cvd_any_Yes",-8.45633003068373e-16,"post"
"DSD010AN_7",-4.30806401754558,"post"
"BPACSZ_5",-0.321803655599176,"post"
"BPXPTY_1",0.142468522822346,"post"
"BPXPTY_2",-2.62923237940238e-14,"post"
"BPAEN2_1",0.939218130544799,"post"
"BPAEN2_2",-1.13626744500867e-14,"post"
"BPQ080_2",0.678221749825923,"post"
"BPQ090D_2",0.209900014559674,"post"
"HSQ590_9",-0.455199952890162,"post"
"DIQ010_2",0.990793168378516,"post"
"HIQ210_1",0.930558687682003,"post"
"HOQ065_1",0.15542360988883,"post"
"IMQ020_1",-0.320097765873835,"post"
"IMQ020_3",0.364453645675336,"post"
"MCQ010_1",-0.238406313503334,"post"
"MCQ053_1",-0.32633555648309,"post"
"MCQ080_1",-0.120527476525661,"post"
"MCQ080_2",0.00321989404322036,"post"
"MCQ160A_1",1.06248088900547,"post"
"MCQ160A_2",-0.654314141118187,"post"
"MCQ160L_1",-0.35925841529808,"post"
"MCQ220_1",-0.195813447423888,"post"
"OSQ010B_1",-0.31723403763027,"post"
"OSQ060_1",-0.181260936161495,"post"
"PFQ090_1",-0.274879083704465,"post"
"PFQ090_2",0.110572003637863,"post"
"WHQ030_1",0.191596153600581,"post"
"WHQ070_1",0.719022528551679,"post"
"DPQ010_1",0.185405397432507,"post"
"DPQ020_0",1.18434934093475,"post"
"DPQ030_2",-0.367116130744801,"post"
"DPQ050_1",-0.853149656182095,"post"
"DPQ050_3",0.109246020856917,"post"
"DPQ070_0",0.148024774210178,"post"
"DPQ080_1",1.07018806614186,"post"
"PUQ100_1",0.601808456519055,"post"
"PUQ110_9",-0.680039778780644,"post"
"INDFMMPC_2",-0.292074114627754,"post"
"INDFMMPC_3",0.0767007381535548,"post"
"(Intercept)",-21.0978207588451,"overall"
"bp_sys_mean",-1.22818811396145,"overall"
"bp_dia_mean",0.036801768600784,"overall"
"DSDCOUNT_x",0.168141868390436,"overall"
"DR1EXMER",0.303595963770159,"overall"
"BMXARML",-0.197397077733239,"overall"
"BPXPLS",-0.0875900712019736,"overall"
"BPXDI1",0.0859823341612962,"overall"
"BPXSY2",-0.86796634435685,"overall"
"BPXDI2",0.263377544392871,"overall"
"BPXSY3",-0.904543266532824,"overall"
"LBXEOPCT",-0.103160680845583,"overall"
"LBDNENO",-0.0326471705998551,"overall"
"LBXPLTSI",-0.1261345257774,"overall"
"HOD050",0.188905284335032,"overall"
"WHD120",0.15232781165501,"overall"
"demo_age_cat_18to44",-0.299486116461593,"overall"
"demo_age_cat_65to74",10.9557570999528,"overall"
"demo_race_Other",1.71885290490393,"overall"
"demo_gender_Men",-0.598418715819258,"overall"
"demo_gender_Women",0.238426207307639,"overall"
"bp_cat_meds_excluded_SBP120andDBP80mmHg",23.7541933080854,"overall"
"bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",25.3734615570161,"overall"
"bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-0.0820415416643394,"overall"
"bp_cat_meds_included_takingantihypertensivemedications",0.807954722212304,"overall"
"bp_med_recommended_accaha_No",7.39954873364397,"overall"
"bp_med_recommended_accaha_Yes",-5.3316461869338e-15,"overall"
"bp_med_n_pills_One",0.290614079993924,"overall"
"bp_med_ace_No",0.0189006464867774,"overall"
"bp_med_ace_Yes",-0.00011137170471764,"overall"
"bp_med_aldo_No",-0.360378782290002,"overall"
"bp_med_aldo_Yes",0.00399516077108711,"overall"
"bp_med_angioten_No",-0.15454897379143,"overall"
"bp_med_angioten_Yes",3.6050218097986e-15,"overall"
"bp_med_ccb_dh_No",-0.063115894007591,"overall"
"bp_med_ccb_dh_Yes",0.0224016277858649,"overall"
"bp_med_diur_loop_No",-0.121649218381083,"overall"
"bp_med_diur_loop_Yes",1.46624762610627e-15,"overall"
"htn_resistant_accaha_No",0.440718096774079,"overall"
"htn_resistant_accaha_Yes",-3.65012723025056e-14,"overall"
"cc_smoke_Former",0.52631571714557,"overall"
"cc_ckd_No",0.399104224745906,"overall"
"cc_ckd_Yes",-1.02626681258545e-15,"overall"
"cc_cvd_any_No",0.527172274984308,"overall"
"cc_cvd_any_Yes",-0.0414016503813259,"overall"
"DSD010AN_7",-1.25563297466773,"overall"
"DR1LANG_3",0.748325754004367,"overall"
"DS1DS_1",0.258243103876812,"overall"
"DS1DS_2",-1.34850936465244e-14,"overall"
"BPACSZ_5",-0.0543045762118908,"overall"
"BPAEN2_1",1.56666567392122,"overall"
"BPAEN2_2",-2.36740832565888e-14,"overall"
"BPAEN3_1",-0.136692987296787,"overall"
"BPAEN3_2",6.54379334073847e-15,"overall"
"LBXHA_1",-0.0930924818111529,"overall"
"BPQ060_2",0.285634151207658,"overall"
"BPQ080_2",0.144352071334409,"overall"
"DIQ010_1",-0.321859273122205,"overall"
"DIQ010_2",0.453248577285395,"overall"
"HUQ010_1",0.00796126852655251,"overall"
"HUQ010_3",-0.386496102804934,"overall"
"HOQ065_1",0.362861816971601,"overall"
"HOQ065_7",-0.894368219805625,"overall"
"MCQ010_1",-0.0920980420112657,"overall"
"MCQ080_1",-0.0365561009667834,"overall"
"MCQ160A_1",0.774718091894247,"overall"
"MCQ160F_9",2.90748071193628,"overall"
"MCQ220_1",-0.234543466931807,"overall"
"OSQ010C_1",1.3978278949109,"overall"
"OSQ060_2",0.26702363574188,"overall"
"WHQ030_3",-0.253799903269878,"overall"
"WHQ070_1",0.294536968335321,"overall"
"DPQ010_1",0.160370670175086,"overall"
"DPQ020_0",0.346356384260561,"overall"
"DPQ040_1",-0.185871993282447,"overall"
"DPQ050_1",-0.0294587281539184,"overall"
"DPQ050_3",0.276879178749941,"overall"
"DPQ080_1",0.558231966234347,"overall"
"PUQ110_2",0.0466000297806219,"overall"
