Medication Use = Yes,,,,,,,,,Medication Use = No,,,,,,,,
term...1,estimate...2,std.error...3,or...4,statistic...5,p.value...6,conf.low...7,conf.high...8,significant...9,term...10,estimate...11,std.error...12,or...13,statistic...14,p.value...15,conf.low...16,conf.high...17,significant...18
LBXSBU,0.010274428,0.00838455,1.010327392,1.225400146,0.220638238,-0.006159289,0.026708146,FALSE,LBXSBU,6.40230819578014e-16,0.010557973,1,6.06395572633909e-14,1,-0.020693627,0.020693627,FALSE
LBDMONO,0.033518844,0.311230281,1.03408693,0.107697889,0.914271937,-0.576492506,0.643530195,FALSE,LBDMONO,-6.52E-14,0.259968618,1,-2.51E-13,1,-0.509538491,0.509538491,FALSE
LBXRBCSI,-0.216360663,0.132502109,0.805444755,-1.632884671,0.10272916,-0.476064797,0.043343471,FALSE,LBXRBCSI,4.0172894785437e-14,0.109514074,1,3.66828604246778e-13,1,-0.214647584,0.214647584,FALSE
LBXTC,-0.004767503,0.001453013,0.995243843,-3.281115186,0.001072875,-0.007615409,-0.001919598,TRUE,LBXTC,7.65002607598473e-17,0.001242441,1,6.15725353412828e-14,1,-0.002435185,0.002435185,FALSE
phq9_categoryMinimal,0.036535091,0.162588058,1.0372107,0.22470956,0.822237923,-0.282137503,0.355207685,FALSE,phq9_categoryMinimal,-1.13E-14,0.148218658,1,-7.64E-14,1,-0.29050857,0.29050857,FALSE
phq9_categoryModerate,-0.232864254,0.263945211,0.792261113,-0.882244663,0.377795541,-0.750196867,0.28446836,FALSE,phq9_categoryModerate,-1.40E-14,0.255216978,1,-5.48E-14,1,-0.500225277,0.500225277,FALSE
phq9_categoryModerately Severe,0.042372348,0.347854078,1.04328287,0.121810697,0.903066391,-0.639421644,0.72416634,FALSE,phq9_categoryModerately Severe,-1.58E-14,0.354943503,1,-4.46E-14,1,-0.695689266,0.695689266,FALSE
phq9_categorySevere,0.05039532,0.499670652,1.051686768,0.100857075,0.91967831,-0.928959157,1.029749798,FALSE,phq9_categorySevere,-3.12E-15,0.431968553,1,-7.21E-15,1,-0.846658365,0.846658365,FALSE
cc_bmi25 to <30,0.655432855,0.192411265,1.925976005,3.406416217,0.000676983,0.278306775,1.032558935,TRUE,cc_bmi25 to <30,-3.18E-14,0.144685143,1,-2.20E-13,1,-0.283582881,0.283582881,FALSE
cc_bmi30 to <35,0.698551435,0.222969045,2.010837767,3.132952537,0.001782852,0.261532107,1.135570763,TRUE,cc_bmi30 to <35,-4.87E-15,0.176819554,1,-2.75E-14,1,-0.346566326,0.346566326,FALSE
cc_bmi35+,0.471278352,0.240762777,1.602040856,1.95743859,0.050512392,-0.000616692,0.943173395,FALSE,cc_bmi35+,-6.26E-15,0.203332429,1,-3.08E-14,1,-0.39853156,0.39853156,FALSE
FSDADlow food security: 3-5,-0.002981344,0.214036088,0.997023096,-0.013929165,0.98888847,-0.422492077,0.416529389,FALSE,FSDADlow food security: 3-5,2.48844160454025e-14,0.184254107,1,1.35054878592228e-13,1,-0.36113805,0.36113805,FALSE
FSDADmarginal food security: 1-2,-0.031080765,0.206505339,0.969397277,-0.150508287,0.880385208,-0.43583123,0.3736697,FALSE,FSDADmarginal food security: 1-2,1.91566263746598e-14,0.182413387,1,1.05017656378434e-13,1,-0.357530238,0.357530238,FALSE
FSDADvery low food security: 6-10,-0.089688863,0.257819628,0.914215587,-0.347874458,0.727986592,-0.595015333,0.415637607,FALSE,FSDADvery low food security: 6-10,3.5197493006356e-14,0.183842741,1,1.91454352386521e-13,1,-0.360331773,0.360331773,FALSE
WHQ030Overweight,-0.113914936,0.162093709,0.892333858,-0.702772099,0.482316287,-0.431618605,0.203788733,FALSE,WHQ030Overweight,2.37714684010657e-14,0.129123755,1,1.84098336020842e-13,1,-0.253082559,0.253082559,FALSE
WHQ030Underweight,-0.125668002,0.313446842,0.88190759,-0.400922852,0.688537869,-0.740023813,0.488687809,FALSE,WHQ030Underweight,4.00496348241904e-15,0.2185348,1,1.83264334774508e-14,1,-0.428328209,0.428328209,FALSE
