Medication Use = Yes,,,,,,,,,Medication Use = No,,,,,,,,
term...1,estimate...2,std.error...3,or...4,statistic...5,p.value...6,conf.low...7,conf.high...8,significant...9,term...10,estimate...11,std.error...12,or...13,statistic...14,p.value...15,conf.low...16,conf.high...17,significant...18
phq9_categoryModerately Severe,0.44282086,0.371797203,1.557093372,1.191027948,0.233849914,-0.285901659,1.171543379,FALSE,phq9_categoryModerately Severe,-6.37E-15,0.349804367,1,-1.82E-14,1,-0.685616558,0.685616558,FALSE
phq9_categorySevere,0.089779897,0.584329477,1.093933479,0.153646017,0.877911553,-1.055505878,1.235065672,FALSE,phq9_categorySevere,8.22086894353029e-15,0.401691287,1,2.04656391835091e-14,1,-0.787314923,0.787314923,FALSE
cc_bmi25 to <30,0.228022456,0.18502414,1.256113532,1.232393002,0.218017425,-0.134624859,0.590669771,FALSE,cc_bmi25 to <30,-1.59E-15,0.131943051,1,-1.20E-14,1,-0.258608379,0.258608379,FALSE
cc_bmi30 to <35,0.538716809,0.200513401,1.713806309,2.686687299,0.007318546,0.145710542,0.931723075,TRUE,cc_bmi30 to <35,-2.68E-14,0.151190898,1,-1.77E-13,1,-0.29633416,0.29633416,FALSE
cc_bmi35+,0.066170775,0.205253107,1.068409159,0.322386227,0.747211964,-0.336125315,0.468466864,FALSE,cc_bmi35+,-8.14E-15,0.167766396,1,-4.85E-14,1,-0.328822137,0.328822137,FALSE
FSDADlow food security: 3-5,-0.069018608,0.174512926,0.933309313,-0.395492816,0.692540969,-0.411063943,0.273026726,FALSE,FSDADlow food security: 3-5,9.17616407574304e-15,0.145204375,1,6.31948180613695e-14,1,-0.284600575,0.284600575,FALSE
FSDADmarginal food security: 1-2,-0.085001149,0.185959412,0.918511229,-0.457095169,0.647675496,-0.449481598,0.279479299,FALSE,FSDADmarginal food security: 1-2,5.56944738601337e-15,0.143905415,1,3.87021391424307e-14,1,-0.282054613,0.282054613,FALSE
FSDADvery low food security: 6-10,-0.172711752,0.213723341,0.841380106,-0.808108983,0.419168825,-0.591609501,0.246185997,FALSE,FSDADvery low food security: 6-10,8.36741673574149e-15,0.163955266,1,5.10347542874144e-14,1,-0.321352322,0.321352322,FALSE
cc_smokeFormer,0.144380798,0.141113929,1.15532397,1.02315058,0.30641853,-0.132202502,0.420964099,FALSE,cc_smokeFormer,6.15075700978504e-15,0.118577954,1,5.18709994863676e-14,1,-0.232412791,0.232412791,FALSE
cc_smokeCurrent,0.131196523,0.177462388,1.140191833,0.739291997,0.459856724,-0.216629757,0.479022803,FALSE,cc_smokeCurrent,-1.68E-14,0.134129871,1,-1.25E-13,1,-0.262894548,0.262894548,FALSE
